"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jan-2025","EQ","3,599.90","3,606.30","3,486.00","3,596.35","3,535.00","3,527.90","3,526.53","3,963.50","3,175.05","29,21,681","10,30,33,98,615.25","2,31,251"
"08-Jan-2025","EQ","3,662.00","3,663.85","3,590.00","3,643.30","3,596.50","3,596.35","3,612.93","3,963.50","3,175.05","18,13,201","6,55,09,64,744.05","1,47,106"
"07-Jan-2025","EQ","3,607.10","3,649.85","3,595.70","3,603.20","3,640.10","3,643.30","3,623.73","3,963.50","3,175.05","14,53,540","5,26,72,40,240.40","1,10,429"
"06-Jan-2025","EQ","3,684.75","3,692.25","3,585.50","3,659.90","3,607.15","3,603.20","3,626.01","3,963.50","3,175.05","12,12,012","4,39,47,71,181.95","1,31,815"
"03-Jan-2025","EQ","3,708.00","3,719.90","3,651.45","3,713.50","3,660.00","3,659.90","3,679.46","3,963.50","3,175.05","12,90,107","4,74,68,91,680.45","1,04,812"
"02-Jan-2025","EQ","3,676.60","3,724.10","3,650.05","3,667.50","3,706.80","3,713.50","3,701.57","3,963.50","3,175.05","18,82,900","6,96,96,87,399.55","1,19,634"
"01-Jan-2025","EQ","3,600.00","3,689.00","3,599.95","3,607.65","3,670.10","3,667.50","3,660.22","3,963.50","3,175.05","12,02,029","4,39,96,95,427.05","92,010"
"31-Dec-2024","EQ","3,562.55","3,620.60","3,550.00","3,578.95","3,609.95","3,607.65","3,593.79","3,963.50","3,175.05","12,67,628","4,55,55,87,428.95","98,165"
"30-Dec-2024","EQ","3,607.90","3,623.00","3,566.00","3,608.10","3,590.00","3,578.95","3,590.43","3,963.50","3,175.05","15,91,690","5,71,48,56,382.30","99,927"
"27-Dec-2024","EQ","3,632.40","3,643.65","3,603.50","3,629.50","3,610.65","3,608.10","3,617.13","3,963.50","3,175.05","13,09,122","4,73,52,58,789.05","75,927"
"26-Dec-2024","EQ","3,658.00","3,665.15","3,610.35","3,639.75","3,632.40","3,629.50","3,634.04","3,963.50","3,175.05","11,24,705","4,08,72,19,624.30","80,516"
"24-Dec-2024","EQ","3,647.95","3,679.00","3,632.40","3,640.50","3,633.00","3,639.75","3,651.50","3,963.50","3,175.05","6,27,922","2,29,28,60,072.10","71,920"
"23-Dec-2024","EQ","3,670.00","3,700.00","3,617.05","3,629.85","3,642.90","3,640.50","3,644.90","3,963.50","3,175.05","12,17,612","4,43,80,75,173.95","1,07,539"
"20-Dec-2024","EQ","3,716.35","3,725.00","3,607.10","3,716.35","3,629.00","3,629.85","3,654.85","3,963.50","3,175.05","27,96,593","10,22,11,32,562.15","1,54,712"
"19-Dec-2024","EQ","3,702.15","3,762.20","3,700.00","3,758.15","3,713.15","3,716.35","3,724.67","3,963.50","3,175.05","18,56,838","6,91,61,14,961.40","1,42,412"
"18-Dec-2024","EQ","3,807.20","3,819.00","3,745.00","3,807.20","3,760.40","3,758.15","3,763.15","3,963.50","3,175.05","13,18,341","4,96,11,15,143.30","1,20,658"
"17-Dec-2024","EQ","3,863.05","3,875.40","3,797.00","3,877.85","3,802.95","3,807.20","3,818.67","3,963.50","3,175.05","16,90,180","6,45,42,42,086.40","1,16,461"
"16-Dec-2024","EQ","3,882.00","3,914.40","3,857.25","3,887.00","3,872.30","3,877.85","3,877.81","3,963.50","3,175.05","9,18,660","3,56,23,89,173.30","81,821"
"13-Dec-2024","EQ","3,859.00","3,898.00","3,794.20","3,859.90","3,889.25","3,887.00","3,852.29","3,963.50","3,175.05","23,00,361","8,86,16,56,006.60","1,66,323"
"12-Dec-2024","EQ","3,930.00","3,959.00","3,846.95","3,916.75","3,863.20","3,859.90","3,867.89","3,963.50","3,175.05","18,99,867","7,34,84,71,534.05","1,69,801"
"11-Dec-2024","EQ","3,923.15","3,947.65","3,902.00","3,923.15","3,913.15","3,916.75","3,920.30","3,963.50","3,175.05","12,37,958","4,85,31,62,175.95","1,33,277"
"10-Dec-2024","EQ","3,955.00","3,963.50","3,901.30","3,947.30","3,922.95","3,923.15","3,927.94","3,963.50","3,175.05","23,49,493","9,22,86,65,089.70","1,31,218"
"09-Dec-2024","EQ","3,867.50","3,959.00","3,867.50","3,866.70","3,954.75","3,947.30","3,938.78","3,959.00","3,175.05","33,32,753","13,12,69,69,162.15","2,14,643"
"06-Dec-2024","EQ","3,832.00","3,883.95","3,800.00","3,831.55","3,861.20","3,866.70","3,856.47","3,919.90","3,175.05","18,56,562","7,15,97,70,118.00","1,47,414"
